sample,image,class_id,class_name,confidence,xmin,ymin,xmax,ymax
3491B_240506-155911,band_000_973nm.png,0,staphylococcus,0.9581261277198792,0.0,0.0,288.6922607421875,291.0
3491B_240506-155911,band_001_979nm.png,0,staphylococcus,0.9593603014945984,0.0,0.0,290.4973449707031,291.0
3491B_240506-155911,band_002_985nm.png,0,staphylococcus,0.9140762090682983,122.9190444946289,0.0,320.0,290.7921142578125
3491B_240506-155911,band_002_985nm.png,0,staphylococcus,0.9138686656951904,0.3073692321777344,0.0,318.4936828613281,291.0
3491B_240506-155911,band_003_992nm.png,0,staphylococcus,0.9420149326324463,122.45426177978516,0.0,320.0,290.60382080078125
3491B_240506-155911,band_003_992nm.png,0,staphylococcus,0.7100611329078674,0.3614997863769531,0.0,317.4726257324219,291.0
3491B_240506-155911,band_004_998nm.png,0,staphylococcus,0.9383905529975891,123.66172790527344,0.0,320.0,290.7172546386719
3491B_240506-155911,band_004_998nm.png,0,staphylococcus,0.8612488508224487,0.3367424011230469,0.0,317.99212646484375,291.0
3491B_240506-155911,band_005_1004nm.png,0,staphylococcus,0.9467836022377014,123.48125457763672,0.0,320.0,290.7809143066406
3491B_240506-155911,band_006_1011nm.png,0,staphylococcus,0.9368739128112793,128.8046875,0.0,320.0,290.8768310546875
3491B_240506-155911,band_006_1011nm.png,0,staphylococcus,0.5054359436035156,0.2961540222167969,0.0,316.5362243652344,291.0
3491B_240506-155911,band_007_1017nm.png,0,staphylococcus,0.9340574145317078,124.99835205078125,0.0,320.0,290.70111083984375
3491B_240506-155911,band_007_1017nm.png,0,staphylococcus,0.7492567300796509,0.2935028076171875,0.0,317.75347900390625,291.0
3491B_240506-155911,band_008_1023nm.png,0,staphylococcus,0.9472423791885376,124.9575424194336,0.0,320.0,290.6661376953125
3491B_240506-155911,band_009_1030nm.png,0,staphylococcus,0.9437565207481384,125.76142120361328,0.0,320.0,290.6512451171875
3491B_240506-155911,band_009_1030nm.png,0,staphylococcus,0.7465702891349792,0.2623939514160156,0.0,318.12921142578125,291.0
3491B_240506-155911,band_010_1036nm.png,0,staphylococcus,0.9368616938591003,124.01023864746094,0.0,320.0,290.72076416015625
3491B_240506-155911,band_010_1036nm.png,0,staphylococcus,0.8380273580551147,0.2819633483886719,0.0,318.3643798828125,291.0
3491B_240506-155911,band_011_1042nm.png,0,staphylococcus,0.9369462132453918,122.55378723144531,0.0,320.0,290.78131103515625
3491B_240506-155911,band_011_1042nm.png,0,staphylococcus,0.7824726700782776,0.4184722900390625,4.0917205810546875,318.703125,291.0
3491B_240506-155911,band_012_1049nm.png,0,staphylococcus,0.9412829279899597,122.10202026367188,0.0,320.0,290.7870788574219
3491B_240506-155911,band_012_1049nm.png,0,staphylococcus,0.5232062339782715,0.6266403198242188,5.4644012451171875,318.0849914550781,291.0
3491B_240506-155911,band_013_1055nm.png,0,staphylococcus,0.9325146675109863,123.44303131103516,0.0,320.0,290.8051452636719
3491B_240506-155911,band_013_1055nm.png,0,staphylococcus,0.7590198516845703,0.2603340148925781,0.0,316.8912353515625,291.0
3491B_240506-155911,band_014_1061nm.png,0,staphylococcus,0.9464656114578247,121.1379623413086,0.0,320.0,290.7498779296875
3491B_240506-155911,band_015_1068nm.png,0,staphylococcus,0.9500763416290283,121.24645233154297,0.0,320.0,290.67974853515625
3491B_240506-155911,band_016_1074nm.png,0,staphylococcus,0.9471468925476074,121.411865234375,0.0,320.0,290.8035583496094
3491B_240506-155911,band_017_1080nm.png,0,staphylococcus,0.9406754970550537,123.20205688476562,0.0,320.0,290.6961669921875
3491B_240506-155911,band_017_1080nm.png,0,staphylococcus,0.5195010900497437,0.7291030883789062,5.40313720703125,317.8160400390625,291.0
3491B_240506-155911,band_018_1087nm.png,0,staphylococcus,0.9432761073112488,123.44409942626953,0.0,320.0,290.6381530761719
3491B_240506-155911,band_018_1087nm.png,0,staphylococcus,0.5638018250465393,0.345611572265625,0.0,317.4290466308594,291.0
3491B_240506-155911,band_019_1093nm.png,0,staphylococcus,0.9467185735702515,121.94622039794922,0.0,320.0,290.6646423339844
3491B_240506-155911,band_020_1099nm.png,0,staphylococcus,0.9471442103385925,123.76266479492188,0.0,320.0,290.5574035644531
3491B_240506-155911,band_021_1106nm.png,0,staphylococcus,0.9446088075637817,124.42204284667969,0.0,320.0,290.7265625
3491B_240506-155911,band_021_1106nm.png,0,staphylococcus,0.5293806195259094,0.3493690490722656,0.0,316.7575378417969,291.0
3491B_240506-155911,band_022_1112nm.png,0,staphylococcus,0.9463011026382446,123.96236419677734,0.0,320.0,290.6116638183594
3491B_240506-155911,band_023_1118nm.png,0,staphylococcus,0.9503601789474487,122.11952209472656,0.0,320.0,290.6438293457031
3491B_240506-155911,band_024_1124nm.png,0,staphylococcus,0.9416013956069946,122.25650787353516,0.0,320.0,290.74554443359375
3491B_240506-155911,band_024_1124nm.png,0,staphylococcus,0.5551761984825134,0.3578948974609375,0.0,316.6777038574219,291.0
3491B_240506-155911,band_025_1131nm.png,0,staphylococcus,0.9480006098747253,120.20797729492188,0.0,320.0,290.6026916503906
